fuente,id_origen,comprador,objeto,tipo,fecha_publicacion,fecha_apertura,estado,categoria_zona,es_ruido,keywords,url,fragmento,primera_vez_visto,vista_ultima_corrida,ultima_vez_visto
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15586/contents/2435453,Bragado,Decreto Nº0727 en el boletín 182º de Bragado,,28/08/2026,,,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/15586/contents/2435453,"20-05056042-3, domicilio comercial en calle Rauch y Salta de la ciudad de Bragado, bajo el rubro Taller de Gomería , Partida Nº 181 ... […] VISTO ... […] , CUIT Nº 20-05056042-3, Partida Nº 181, cuyo domicilio comercial es en calle Rauch y Salta de la ciudad de Bragado, y bajo el rubro Taller de Gomería , ello en conformidad con lo establecido en los artículos 97 y 100 ...",2026-08-28,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15592/contents/2434615,Coronel Suárez,Decreto Nº1190/2026 en el boletín 163º de Coronel Suárez,,27/08/2026,,,volumen_alto,no,"neumatico,neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/15592/contents/2434615,"Que es necesaria su adquisición ... […] NEUMÁTICOS , para vehículos de la Secretaría de Servicios y Mantenimiento Urbano, y – ... […] : Llamar a Concurso de Precios nº 41/2026 para adquirir 22 NEUMATICOS - - - - - para vehículos de la Secretaría ...",2026-08-27,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15537/contents/2430840,Chivilcoy,Ordenanza Nº11068 en el boletín 118º de Chivilcoy,,14/08/2026,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15537/contents/2430840,", con batería , y un (1) gabinete de pared para desfibrilador, conforme surge del Acta de Entrega de Donación suscripta entre las partes, según expediente 4031-274141 Interno 1618 E. Artículo 2 ...",2026-08-14,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15429/contents/2426107,General Villegas,Decreto Nº543/26 en el boletín 195º de General Villegas,,10/08/2026,,,volumen_alto,no,"neumatico,neumaticos,protector de neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/15429/contents/2426107,", correspondientes a la Licitación Privada Nº 5/26 destinada a la “Adquisición de Neumáticos Nuevos – Unidades de la Dirección Vial y Delegaciones Municipales”, autorizada por Decreto Nº 393/26 ... […] conveniente adjudicar los ítems 1, 4, 9, 12 y 16 a Neumáticos Villegas S.A. y los ítems 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 19 y 20 a Leticia Liliana Morra, por resultar beneficioso a los intereses municipales ... […] . Por otro lado, corresponde desestimar las ofertas de Neumáticos Villegas S.A., ítems 1 alternativa 1; 2 original y alternativa 1; 3 original; 4 alternativa 1 y 2; 5 ori",2026-08-10,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15468/contents/2421723,Tandil,Decreto Nº2319/2026 en el boletín 349º de Tandil,,29/07/2026,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/15468/contents/2421723,"de la puerta trasera derecha rota, llantas rayadas, paragolpes delantero roto y la puerta del baúl abollada ... […] El reclamo formulado por la Sra. ALDANA SOLEDAD BINDERUP, D.N.I. Nº 37.906.320, a través de nota N […] Artículo 1",2026-07-29,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15450/contents/2422123,Berazategui,Resolución Nº048 en el boletín 157º de Berazategui,,29/07/2026,,,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15450/contents/2422123,Nº 31/2026 para el objeto: “ADQUISICIÓN DE BATERIAS PARA LA FLOTA RODANTE ...,2026-07-29,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15407/contents/2417869,Chacabuco,Decreto Nº814 en el boletín 115º de Chacabuco,,28/07/2026,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/15407/contents/2417869,"DISPONIENDO LA AMPLIACIÓN DE CONTRATO PARA LA OBRA: ""REPARACIÓN CUBIERTA DE TECHO DEL PALACIO MUNICIPAL”.- ...",2026-07-28,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15408/contents/2419283,Moreno,Decreto Nº1288/26 en el boletín 327º de Moreno,,28/07/2026,,,objetivo,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/15408/contents/2419283,"y materiales para gomería ” solicitado por la Secretaria de Ambiente y Desarrollo Sostenible, a la oferta N° 1 correspondiente a la firma GRIMAU NEUMATICOS Y SERVICIOS SRL y a la oferta N° 2 correspondiente a la firma KIMEL DANIEL LUIS ...",2026-07-28,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15287/contents/2419656,Coronel Dorrego,Resolución Nº037/2026 en el boletín 198º de Coronel Dorrego,,27/07/2026,,,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/15287/contents/2419656,"Los antecedentes obrantes ... […] del local de acceso público ubicado en calle Av. Santagada Nº 425 de la ciudad de CORONEL DORREGO, peticionada por MESA PAOLA BELÉN - Ramo GOMERÍA con la finalidad de proveer a la salubridad ... […] el INTENDENTE ...",2026-07-27,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15333/contents/2412716,Berazategui,Decreto Nº283 en el boletín 156º de Berazategui,,23/07/2026,,,objetivo,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/15333/contents/2412716,"Ampliar Lic. Privada N°108/25 para reposicion de camaras de registro cloacal, brocales y techos de camara Adj. A Checa SRL Expediente N° 4011-15748/2025 ...",2026-07-23,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15321/contents/2412370,Moreno,Decreto Nº1072/26 en el boletín 326º de Moreno,,17/07/2026,,adjudicada,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15321/contents/2412370,"Adjudíquese el Concurso de Precios N° 60/2026, para la adquisición de “Drone y Baterías ” solicitado ...",2026-07-17,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15256/contents/2408298,Saladillo,Decreto Nº463/2026 en el boletín 128º de Saladillo,,14/07/2026,,,volumen_alto,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/15256/contents/2408298,"; La firma SALADILLO NEUMÁTICOS S.A., cotizó todos los ítems por la suma de $ 36.475.800,00; La firma NUEVA GOMERÍA PALERMO S.R.L., cotizó todos los ítems por la suma de $ 33.781.046,00 ... […] CECILIA NORA, los ítems 2, 3, 5, y 10 a la firma SALADILLO NEUMÁTICOS S.A.; los ítems 6, 8, 9, 11 y 12 a la firma NUEVA GOMERÍA PALERMO S.R.L., y el ítem 13 a la firma MEYER CARLOS ADRIÁN ... […] , y 7 a CETARO CECILIA NORA, ítems 2, 3, 5, y 10 a la firma SALADILLO NEUMÁTICOS S.A.; ítems 6, 8, 9, 11 y 12 a la firma NUEVA GOMERÍA PALERMO S.R.L., y el ítem 13 a la firma MEYER CARLOS ADRIÁN; por ser las má",2026-07-14,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15256/contents/2408096,Saladillo,Decreto Nº454/2026 en el boletín 128º de Saladillo,,14/07/2026,,,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/15256/contents/2408096,"que en virtud de ello se hace necesario adecuar, en el Presupuesto 2026, lo presupuestado en el rubro Deuda Flotante y lo estimado en Saldos de libre disponibilidad, dictándose el acto administrativo pertinente ... […] que se cuenta con los saldos definitivos de disponibilidades y deuda flotante al cierre del ejercicio 2025 ... […] Cubiertas y cámaras de aire ...",2026-07-14,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15274/contents/2409266,Bahia Blanca,Decreto Nº1136 en el boletín 498º de Bahia Blanca,,03/07/2026,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15274/contents/2409266,", y; CONSIDERANDO: Que, la contratación a llevar a cabo objeto de la presente solicitud, incluye servicio y gastos de 80 equipos tranceptores portátiles, sistema de trunking, reposición y reparaciones de baterías . Los equipos ... […] solicitados deben tener potencia 2.5 watts y 25 watts, batería de alto rendimiento y funcionar en el Sistema de Trunking de 800 MHZ conformado por múltiples repetidoras de alta seguridad en comunicaciones, ya que las misma se encuentran encriptadas ...",2026-07-03,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15121/contents/2410229,Trenque Lauquen,Decreto Nº596/2026 en el boletín 222º de Trenque Lauquen,,30/06/2026,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/15121/contents/2410229,"Que, en ellas, los SRES. ÉRCOLI, HERNÁN JESÚS y GÓMEZ, LETICIA IVONE, solicitan se realicen los trámites necesarios para proceder a la escrituración, por intermedio de la Escribanía General de Gobierno, de la vivienda de su propiedad ... […] Las actuaciones obrantes en el Expediente Nº 4115-41/2025 ... […] 596/2026 Declara Interés Social escritura Ercoli - Gomez Tres LLantas ...",2026-06-30,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14909/contents/2384004,Nueve de Julio,Resolución Nº68/2026 en el boletín 121º de Nueve de Julio,,02/06/2026,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/14909/contents/2384004,"el vehículo en llanta )”. Que de lo informado por el Secretario de Obras y Servicios Públicos (fs. 7) surge que “se informa la existencia del cordón, el cual se encuentra señalizado con pintura amarilla, lo que indica la prohibición de estacionar ... […] Las constancias obrantes en el Expediente Municipal Nº 4082-177/2026 caratulado “Ingrati Romina – Rotura de neumático por cordón sobresaliente” que tienen por objeto el reclamo de resarcimiento de los daños producidos en el vehículo con dominio AC ... […] ARTICULO 1º: Rechazar el reclamo administrativo interpuesto por la Sra. Ingrati Ines Romi",2026-06-02,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15107/contents/2397527,Zárate,Decreto Nº191/26 en el boletín 253º de Zárate,,29/05/2026,,,objetivo,no,"neumatico,neumaticos,protector de neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/15107/contents/2397527,"Que, se solicitó por parte de la Subsecretaría de Obras Públicas y Mantenimiento Urbano la adquisición de neumáticos destinados a los vehículos de dicha dependencia; Que, en relación a ello se dispuso la apertura de los presentes actuados ... […] , con el fin de canalizar dicha demanda; Que, conforme surge de las actuaciones, las áreas técnicas han cotejado los valores ofertados, verificando que los neumáticos requeridos constituyen bienes de valor corriente en plaza ... […] ; Que, la oferta presentada por la firma Fioranelli Neumáticos S.A.S. resulta ser la más conveniente a los intereses mun",2026-05-29,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14981/contents/2395207,Puan,Decreto Nº0322 en el boletín 161º de Puan,,29/05/2026,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/14981/contents/2395207,"de partes, piezas y accesorios nuevos ncp, venta y reparación de cámaras y cubiertas, venta al por menor de baterías y venta al por menor de artículos de ferretería y materiales eléctricos, de la calle Humberto ...",2026-05-29,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15058/contents/2394241,Coronel Pringles,Decreto Nº0377/26 en el boletín 265º de Coronel Pringles,,27/05/2026,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/15058/contents/2394241,"Que el Director de Vialidad Municipal, Sr. Vivas Luciano, informa el deterioro que presenta la cubierta del edificio donde funcionan las Oficinas Administrativas de Vialidad y Servicios Urbanos ... […] ; Que dichas tareas comprenden el desarme de la cubierta existente y la posterior construcción de una nueva estructura con malla, lana de vidrio y colocación de chapas nuevas; Que la Contaduría Municipal a fs. 22 da lugar ... […] a lo requerido para atender el gasto que demanden las tareas de mantenimiento por deterioro de la cubierta del edificio del Parque Vial, con el objeto de solucionar los",2026-05-27,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15073/contents/2395085,Zárate,Resolución Nº267/26 en el boletín 251º de Zárate,,26/05/2026,,,objetivo,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/15073/contents/2395085,".), y actividades accesorias de Depósito Fiscal (Depósito de Mercaderías de Importación y exportación excepto inflamables y explosivos), Lavadero de autos, Gomería , Shop-Autoservicio de Comidas y Locutorio Telefónico, en el establecimiento ubicado ... […] inflamables y explosivos), Lavadero de autos, Gomería , Shop-Autoservicio de Comidas y Locutorio Telefónico, Servicio de Almacenamiento y Depósitos en cámaras frigoríficas de productos alimenticios, Servicio de Almacenamiento y Depósito de mercaderías ... […] El señor SECRETARIO DE GOBIERNO de la MUNICIPALIDAD DE ZÁRATE, en uso de las facult",2026-05-26,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15003/contents/2391399,Lujan,Decreto Nº381 en el boletín 88º de Lujan,,24/05/2026,,,objetivo,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/15003/contents/2391399,"Que en orden 2 toma conocimiento la Secretaría de Protección Ciudadana de la nota presentada por el Señor Fernández Federico Samuel, DNI 42.397.195, para la autorización del evento bailable al aire libre, a fin de festejar un ""After Club ... […] lo actuado en el expediente EX-2026-00028393-MUNILUJAN-DRH#SGPC, referente a un evento bailable al aire libre en el predio del Club Social y Deportivo Flandria; y ... […] EX-2026-00028393- -MUNILUJAN-DRH#SGPC - Autoriación para realización de evento bailable al aire libre ""After Club"" en el predio del Club Social y Deportivo Flandria ...",2026-05-24,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14984/contents/2392538,General Alvear,Decreto Nº229/2026 en el boletín 95º de General Alvear,,20/05/2026,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/14984/contents/2392538,"VISTO: El Expte. N.º: 4039-17522/2026-BIS, por el cual se llama a Concurso de Precio N.º: 05/2026, referente a: Adquisición de 4 cubiertas 295/80 RX ... […] 22 C/TACO para compactadora, con destino a SEU y 4 cubiertas C/TACOS 1400 x 24 x 12 dibujo R2 P/ Motoniveladora Zanello: VIAL, cuatro neumáticos pirelli 205/75 R16 “C” para ambulancias fiat ducato dominio NQK355 y AD174IN”, por un costo aproximado ... […] ), referente a la Adquisición de 4 cubiertas 295/80 RX 22 C/TACO para compactadora, con destino a SEU y 4 cubiertas C/TACOS 1400 x 24 x 12 dibujo R2 P/ Motoniveladora Zanello: VIAL, cuatr",2026-05-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14984/contents/2388986,General Alvear,Decreto Nº186/2026 en el boletín 95º de General Alvear,,20/05/2026,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/14984/contents/2388986,"VISTO: El Expediente Nº: 4039-17522/2026, referente a “Adquisición de 4 cubiertas 295/80 RX 22 C/TACO para compactadora, con destino a SEU y 4 cubiertas C/TACOS 1400 x 24 x 12 dibujo R2 P ... […] ARTICULO 1º: Llámese a Concurso de Precios Nº 04/2026 (Expte. Nº: 4039-17522/2026), para el día 09 de abril de 2026, a las 11:00 hs “Adquisición de 4 cubiertas 295/80 RX 22 C/TACO para compactadora ... […] , con destino a SEU y 4 cubiertas C/TACOS 1400 x 24 x 12 dibujo R2 P/ Motoniveladora Zanello: vial, cuatro neumáticos pirelli 205/75 R16 “C” para ambulancias fiat ducato dominio NQK355 y AD174IN”, p",2026-05-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14984/contents/2392311,General Alvear,Decreto Nº206/2026 en el boletín 95º de General Alvear,,20/05/2026,,,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/14984/contents/2392311,"VISTO: El Expediente Nº: 4039-17522/2026-BIS , referente a “Adquisición de 4 cubiertas 295/80 RX 22 C/TACO para compactadora, con destino a SEU y 4 cubiertas C/TACOS 1400 x 24 x 12 dibujo R2 P ... […] ARTICULO 1º: Llámese a Concurso de Precios N.º: 05/2026 (Expte. Nº: 4039-17522/2026-BIS), para el día 17 de abril de 2026, a las 11:00 Hs. “Adquisición de 4 cubiertas 295/80 RX 22 C/TACO para compactadora, con destino ... […] a SEU y 4 cubiertas C/TACOS 1400 x 24 x 12 dibujo R2 P/ Motoniveladora Zanello: vial, cuatro neumáticos pirelli 205/75 R16 “C” para ambulancias fiat ducato dominio NQK355 y ",2026-05-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14778/contents/2391908,Tapalqué,Decreto Nº0810 en el boletín 120º de Tapalqué,,20/05/2026,,,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/14778/contents/2391908,"El informe elevado al respecto por la Contaduría de esta Comuna ... […] La necesidad de proceder a la modificación del Cálculo de Recursos y Presupuesto de Gastos en vigencia, como consecuencia de tener que ingresar los fondos que serán destinados al programa Tasa de Seguridad Ciudadana ... […] 22.00.00 Cubiertas y cámaras de aire ...",2026-05-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14696/contents/2391874,Quilmes,Decreto Nº0877/2026 en el boletín 543º de Quilmes,,20/05/2026,,,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/14696/contents/2391874,"DESÍGNASE a la Sra. Pozas, Candela (CUIL Nº 27-38303553-3), como Profesora, con la cantidad de cuatro (4) Horas Interinas Nivel Superior (Cátedra Batería 1 ...",2026-05-20,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14910/contents/2390185,Chivilcoy,Decreto Nº584 en el boletín 115º de Chivilcoy,,19/05/2026,,,volumen_alto,no,camara de aire,https://sibom.slyt.gba.gob.ar/bulletins/14910/contents/2390185,"la nota presentada por la Secretaria de Hacienda Interina, por la cual solicita dar de baja un aire acondicionado, por encontrarse en un estado irrecuperable. ... […] EL INTENDENTE MUNICIPAL, en uso de sus atribuciones; D E C R E T A: Artículo 1º: Efectúese la baja del patrimonio municipal de un aire acondicionado, Cod. de Identificación N° 14417, perteneciente a la Secretaria de Hacienda ... […] El intendente municipal, en uso de sus atribuciones, decreta ...",2026-05-19,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14966/contents/2388448,Bahia Blanca,Decreto Nº2902 en el boletín 491º de Bahia Blanca,,18/05/2026,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/14966/contents/2388448,"el desarrollo del uso ""Taller de reparación eléctrica, de tableros e instrumental, reparación y recarga de baterías , instalación de alarmas, radios y sistema de climatización"" Por ello el INTENDENTE MUNICIPAL en uso de sus facultades ...",2026-05-18,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14951/contents/2386802,Avellaneda,Decreto Nº339/2026 en el boletín 125º de Avellaneda,,15/05/2026,,adjudicada,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/14951/contents/2386802,"Que se ha procedido a la apertura de sobres en fecha 16 de enero del año 2026 a las 09.30 horas, según Decreto Nro. 44/2026 fechado el 08 de enero del 2026 tal como consta en el acta de apertura ... […] El trámite promovido por el Expediente: EX-2025-00307089- -MUNIAVEBA-SSGR#SOSP que trata la: ""PROVISIÓN DE REPUESTOS Y BATERIAS PARA VEHICULOS DE LA SSGR - SECRETARÍA DE OBRAS Y SERVICIOS PÚBLICOS"" y; ... […] DECRE-2026-339-E-MUNIAVEBA-INT ...",2026-05-15,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14959/contents/2387269,Zárate,Decreto Nº168/26 en el boletín 242º de Zárate,,11/05/2026,,,objetivo,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/14959/contents/2387269,"de la instalación de una planta de fabricación de llantas de aluminio para automóviles, según las actuaciones presentes en el expediente municipal 4121-2929-2025; Que, la empresa ha ofrecido, como parte de su Plan de Responsabilidad Social ... […] La Ordenanza 5218, y el expediente 4121-2929-2025 ... […] ARTÍCULO 1º.- Otórgase a la empresa NEO RODAS MERCO S.A., cuyo establecimiento se encuentra situado en Ruta Nacional 9, a la altura del kilómetro 83 (Circunscripción II, Partida 48187, parcela 210 AN, Circunscripción II, Partida ...",2026-05-11,2026-09-01,2026-09-01
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14798/contents/2384912,Bragado,Ordenanza Nº5778 en el boletín 176º de Bragado,,07/05/2026,,,volumen_alto,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/14798/contents/2384912,"un dispositivo de Cámara Corporal CS11 con pantalla y luz LED, calidad de imagen HD, micrófono integrado, lente rotatorio de 180º, batería recargable integrada, conexión Wifi y almacenamiento de 128 GB, a favor de la Dirección de Seguridad ... […] , micrófono integrado, lente rotatorio de 180º, batería recargable integrada, conexión Wifi y almacenamiento de 128 GB, para que sea utilizada por el personal de Tránsito municipal dependiente de la Dirección General de Seguridad de la Municipalidad ...",2026-05-07,2026-09-01,2026-09-01
